index,data,is_discord
0,-0.19,N
1,-0.2,N
2,0,N
3,0.17,N
4,0.050000001,N
5,-0.22,N
6,-0.27000001,N
7,-0.050000001,N
8,0.11,N
9,0.02,N
10,-0.050000001,N
11,0.059999999,N
12,0.15000001,N
13,0.039999999,N
14,-0.14,N
15,-0.11,N
16,0,N
17,-0.059999999,N
18,-0.19,N
19,-0.13,N
20,0.07,N
21,0.16,N
22,0.11,N
23,0.090000004,N
24,0.17,N
25,0.25,N
26,0.20999999,N
27,0.17,N
28,0.23,N
29,0.28,N
30,0.20999999,N
31,0.12,N
32,0.14,N
33,0.19,N
34,0.1,N
35,0,N
36,0.1,N
37,0.27000001,N
38,0.25,N
39,0.039999999,N
40,-0.039999999,N
41,0.050000001,N
42,0.090000004,N
43,-0.02,N
44,-0.079999998,N
45,0.029999999,N
46,0.13,N
47,0.0099999998,N
48,-0.13,N
49,-0.07,N
50,0.11,N
51,0.079999998,N
52,-0.13,N
53,-0.22,N
54,-0.13,N
55,-0.15000001,N
56,-0.36000001,N
57,-0.51999998,N
58,-0.43000001,N
59,-0.22,N
60,-0.17,N
61,-0.2,N
62,-0.14,N
63,-0.050000001,N
64,-0.059999999,N
65,-0.11,N
66,-0.039999999,N
67,0.15000001,N
68,0.28,N
69,0.31999999,N
70,0.41,N
71,0.55000001,N
72,0.58999997,N
73,0.60000002,N
74,0.70999998,N
75,1.05,N
76,1.3200001,N
77,1.33,N
78,1.24,N
79,1.35,N
80,1.53,N
81,1.54,N
82,1.41,N
83,1.49,N
84,1.78,N
85,1.9299999,N
86,1.8,N
87,1.72,N
88,1.9400001,N
89,2.22,N
90,2.29,N
91,2.24,N
92,2.3599999,N
93,2.5799999,N
94,2.6300001,N
95,2.48,N
96,2.3900001,N
97,2.4300001,N
98,2.45,N
99,2.4100001,N
100,2.4100001,N
101,2.4400001,N
102,2.3499999,N
103,2.1600001,N
104,2.0999999,N
105,2.29,N
106,2.4200001,N
107,2.3199999,N
108,2.03,N
109,1.88,N
110,1.85,N
111,1.8099999,N
112,1.76,N
113,1.73,N
114,1.65,N
115,1.39,N
116,1.02,N
117,0.88,N
118,0.98000002,N
119,1,N
120,0.77999997,N
121,0.51999998,N
122,0.47999999,N
123,0.47999999,N
124,0.31999999,N
125,0.12,N
126,0.14,N
127,0.23,N
128,0.14,N
129,-0.07,N
130,-0.11,N
131,0.07,N
132,0.1,N
133,-0.12,N
134,-0.34,N
135,-0.34,N
136,-0.28,N
137,-0.33000001,N
138,-0.36000001,N
139,-0.25999999,N
140,-0.19,N
141,-0.28999999,N
142,-0.40000001,N
143,-0.28999999,N
144,-0.059999999,N
145,-0.079999998,N
146,-0.30000001,N
147,-0.38,N
148,-0.25999999,N
149,-0.2,N
150,-0.34,N
151,-0.38999999,N
152,-0.20999999,N
153,-0.029999999,N
154,-0.1,N
155,-0.19,N
156,-0.079999998,N
157,0.1,N
158,0.050000001,N
159,-0.039999999,N
160,0.090000004,N
161,0.40000001,N
162,0.51999998,N
163,0.41999999,N
164,0.34999999,N
165,0.43000001,N
166,0.41999999,N
167,0.27000001,N
168,0.22,N
169,0.36000001,N
170,0.51999998,N
171,0.5,N
172,0.47999999,N
173,0.64999998,N
174,0.81,N
175,0.75,N
176,0.56,N
177,0.58999997,N
178,0.87,N
179,1.03,N
180,0.97000003,N
181,0.89999998,N
182,1,N
183,1.05,N
184,0.97000003,N
185,0.95999998,N
186,1.1799999,N
187,1.41,N
188,1.38,N
189,1.24,N
190,1.29,N
191,1.51,N
192,1.5599999,N
193,1.45,N
194,1.42,N
195,1.62,N
196,1.75,N
197,1.63,N
198,1.51,N
199,1.62,N
200,1.75,N
201,1.72,N
202,1.66,N
203,1.75,N
204,1.84,N
205,1.73,N
206,1.58,N
207,1.58,N
208,1.76,N
209,1.77,N
210,1.59,N
211,1.5,N
212,1.64,N
