index,data,is_discord,cluster_belong
0,5,N,-1
1,5,N,-1
2,5,N,-1
3,5,N,-1
4,5,N,-1
5,5,N,-1
6,5,N,-1
7,5,N,-1
8,4.99,N,-1
9,5,N,-1
10,5,N,-1
11,5,N,-1
12,5.03,N,-1
13,5.04,N,-1
14,5.02,N,-1
15,4.95,N,-1
16,4.9,N,-1
17,4.87,N,-1
18,4.84,N,-1
19,4.83,N,-1
20,4.78,N,-1
21,4.73,N,-1
22,4.71,N,-1
23,4.72,N,-1
24,4.74,N,-1
25,4.75,N,-1
26,4.73,N,-1
27,4.71,N,-1
28,4.7,N,-1
29,4.7,N,-1
30,4.72,N,-1
31,4.75,N,-1
32,4.75,N,-1
33,4.73,N,-1
34,4.71,N,-1
35,4.72,N,-1
36,4.73,N,-1
37,4.75,N,-1
38,4.73,N,-1
39,4.73,N,12
40,4.73,N,17
41,4.73,N,17
42,4.74,N,7
43,4.74,N,24
44,4.74,N,5
45,4.72,N,5
46,4.72,N,7
47,4.72,N,17
48,4.72,N,24
49,4.71,N,24
50,4.69,N,7
51,4.7,N,20
52,4.7,N,21
53,4.73,N,21
54,4.75,N,15
55,4.76,N,15
56,4.75,N,10
57,4.76,N,10
58,4.74,N,12
59,4.72,N,14
60,4.72,N,3
61,4.73,N,3
62,4.76,N,24
63,4.79,N,9
64,4.8,N,13
65,4.83,N,13
66,4.85,N,17
67,4.84,N,16
68,4.78,N,6
69,4.68,N,6
70,4.61,N,20
71,4.6,N,1
72,4.61,N,24
73,4.61,N,4
74,4.59,N,3
75,4.58,N,1
76,4.54,N,0
77,4.5,N,1
78,4.48,N,21
79,4.47,N,21
80,4.44,N,10
81,4.39,N,12
82,4.34,N,18
83,4.29,N,3
84,4.24,N,3
85,4.21,N,3
86,4.18,N,11
87,4.15,N,11
88,4.14,N,11
89,4.18,N,4
90,4.21,N,4
91,4.23,N,4
92,4.23,N,12
93,4.29,N,6
94,4.36,N,6
95,4.42,N,8
96,4.5,N,6
97,4.54,N,17
98,4.58,N,17
99,4.62,N,17
100,4.64,N,17
101,4.68,N,5
102,4.73,N,5
103,4.75,N,5
104,4.75,N,5
105,4.76,N,5
106,4.76,N,5
107,4.77,N,5
108,4.8,N,5
109,4.81,N,5
110,4.8,N,5
111,4.78,N,5
112,4.78,N,19
113,4.79,N,19
114,4.82,N,1
115,4.84,N,19
116,4.82,N,19
117,4.83,N,19
118,4.83,N,19
119,4.82,N,19
120,4.83,N,9
121,4.84,N,9
122,4.84,N,9
123,4.8,N,9
124,4.8,N,2
125,4.81,N,2
126,4.83,N,2
127,4.84,N,2
128,4.85,N,26
129,4.84,N,26
130,4.83,N,2
131,4.83,N,26
132,4.84,N,1
133,4.84,N,1
134,4.83,N,4
135,4.84,N,1
136,4.85,N,14
137,4.84,N,11
138,4.85,N,11
139,4.86,N,11
140,4.85,N,2
141,4.85,N,2
142,4.85,N,0
143,4.86,N,2
144,4.88,N,9
145,4.9,N,9
146,4.88,N,9
147,4.86,N,9
148,4.84,N,16
149,4.85,N,2
150,4.88,N,2
151,4.9,N,2
152,4.9,N,19
153,4.9,N,10
154,4.88,N,10
155,4.9,N,10
156,4.92,N,9
157,4.93,N,6
158,4.94,N,6
159,4.9,N,6
160,4.88,N,2
161,4.9,N,0
162,4.93,N,0
163,4.94,N,0
164,4.96,N,2
165,4.94,N,2
166,4.93,N,2
167,4.94,N,2
168,4.94,N,2
169,4.96,N,4
170,4.95,N,9
171,4.97,N,9
172,4.96,N,2
173,4.95,N,11
174,4.95,N,16
175,4.98,N,16
176,4.95,N,2
177,4.96,N,0
178,4.96,N,0
179,4.96,N,0
180,4.96,N,26
181,4.97,N,9
182,4.96,N,9
183,4.95,N,9
184,4.93,N,1
185,4.93,N,2
186,4.93,N,26
187,4.94,N,1
188,4.94,N,11
189,4.92,N,26
190,4.92,N,1
191,4.92,N,11
192,4.92,N,2
193,4.93,N,3
194,4.93,N,3
195,4.92,N,21
196,4.89,N,4
197,4.9,N,3
198,4.91,N,11
199,4.91,N,4
200,4.92,N,11
201,4.91,N,3
202,4.89,N,4
203,4.86,N,11
204,4.87,N,4
205,4.87,N,4
206,4.88,N,4
207,4.88,N,4
208,4.87,N,7
209,4.86,N,11
210,4.85,N,17
211,4.87,N,7
212,4.86,N,7
213,4.86,N,7
