index,data,is_discord
0,-559.235816,N
1,-546.235816,N
2,-526.235816,N
3,-502.235816,N
4,-473.235816,N
5,-440.235816,N
6,-404.235816,N
7,-367.235816,N
8,-332.235816,N
9,-296.235816,N
10,-257.235816,N
11,-219.235816,N
12,-182.235816,N
13,-148.235816,N
14,-116.235816,N
15,-90.235816,N
16,-70.235816,N
17,-55.235816,N
18,-49.235816,N
19,-48.235816,N
20,-48.235816,N
21,-48.235816,N
22,-48.235816,N
23,-48.235816,N
24,-48.235816,N
25,-48.235816,N
26,-48.235816,N
27,-48.235816,N
28,-48.235816,N
29,-46.235816,N
30,-34.235816,N
31,-14.235816,N
32,5.764184,N
33,23.764184,N
34,42.764184,N
35,54.764184,N
36,56.764184,N
37,56.764184,N
38,56.764184,N
39,54.764184,N
40,47.764184,N
41,32.764184,N
42,14.764184,N
43,1.764184,N
44,-14.235816,N
45,-32.235816,N
46,-41.235816,N
47,-45.235816,N
48,-46.235816,N
49,-47.235816,N
50,-48.235816,N
51,-47.235816,N
52,-48.235816,N
53,-48.235816,N
54,-50.235816,N
55,-53.235816,N
56,-56.235816,N
57,-56.235816,N
58,-56.235816,N
59,-56.235816,N
60,-56.235816,N
61,-56.235816,N
62,-56.235816,N
63,-56.235816,N
64,-56.235816,N
65,-54.235816,N
66,-45.235816,N
67,-24.235816,N
68,-5.235816,N
69,11.764184,N
70,27.764184,N
71,32.764184,N
72,36.764184,N
73,37.764184,N
74,37.764184,N
75,37.764184,N
76,36.764184,N
77,32.764184,N
78,22.764184,N
79,2.764184,N
80,-21.235816,N
81,-35.235816,N
82,-42.235816,N
83,-45.235816,N
84,-45.235816,N
85,-44.235816,N
86,-45.235816,N
87,-44.235816,N
88,-45.235816,N
89,-48.235816,N
90,-49.235816,N
91,-52.235816,N
92,-52.235816,N
93,-52.235816,N
94,-53.235816,N
95,-53.235816,N
96,-53.235816,N
97,-52.235816,N
98,-52.235816,N
99,-52.235816,N
100,-52.235816,N
101,-49.235816,N
102,-33.235816,N
103,-9.235816,N
104,10.764184,N
105,30.764184,N
106,44.764184,N
107,54.764184,N
108,75.764184,N
109,106.764184,N
110,145.764184,N
111,191.764184,N
112,232.764184,N
113,263.764184,N
114,281.764184,N
115,288.764184,N
116,288.764184,N
117,288.764184,N
118,289.764184,N
119,288.764184,N
120,289.764184,N
121,286.764184,N
122,280.764184,N
123,246.764184,N
124,206.764184,N
125,188.764184,N
126,158.764184,N
127,137.764184,N
128,126.764184,N
129,104.764184,N
130,79.764184,N
131,55.764184,N
132,22.764184,N
133,-4.235816,N
134,-16.235816,N
135,-21.235816,N
