index,data,is_discord,cluster_belong
0,-0.19,N,-1
1,-0.2,N,-1
2,0,N,-1
3,0.17,N,-1
4,0.050000001,N,-1
5,-0.22,N,-1
6,-0.27000001,N,-1
7,-0.050000001,N,-1
8,0.11,N,-1
9,0.02,N,-1
10,-0.050000001,N,-1
11,0.059999999,N,-1
12,0.15000001,N,-1
13,0.039999999,N,-1
14,-0.14,N,-1
15,-0.11,N,-1
16,0,N,-1
17,-0.059999999,N,-1
18,-0.19,N,-1
19,-0.13,N,-1
20,0.07,N,-1
21,0.16,N,-1
22,0.11,N,-1
23,0.090000004,N,-1
24,0.17,N,-1
25,0.25,N,-1
26,0.20999999,N,-1
27,0.17,N,-1
28,0.23,N,-1
29,0.28,N,-1
30,0.20999999,N,-1
31,0.12,N,-1
32,0.14,N,-1
33,0.19,N,-1
34,0.1,N,-1
35,0,N,-1
36,0.1,N,-1
37,0.27000001,N,-1
38,0.25,N,-1
39,0.039999999,N,-1
40,-0.039999999,N,-1
41,0.050000001,N,-1
42,0.090000004,N,-1
43,-0.02,N,-1
44,-0.079999998,N,-1
45,0.029999999,N,-1
46,0.13,N,-1
47,0.0099999998,N,-1
48,-0.13,N,-1
49,-0.07,N,-1
50,0.11,N,-1
51,0.079999998,N,-1
52,-0.13,N,-1
53,-0.22,N,-1
54,-0.13,N,-1
55,-0.15000001,N,-1
56,-0.36000001,N,-1
57,-0.51999998,N,-1
58,-0.43000001,N,-1
59,-0.22,N,-1
60,-0.17,N,-1
61,-0.2,N,-1
62,-0.14,N,-1
63,-0.050000001,N,0
64,-0.059999999,N,0
65,-0.11,N,0
66,-0.039999999,N,0
67,0.15000001,N,0
68,0.28,N,1
69,0.31999999,N,1
70,0.41,N,2
71,0.55000001,N,2
72,0.58999997,N,2
73,0.60000002,N,2
74,0.70999998,N,2
75,1.05,N,2
76,1.3200001,N,2
77,1.33,N,2
78,1.24,N,2
79,1.35,N,2
80,1.53,N,2
81,1.54,N,3
82,1.41,N,4
83,1.49,N,4
84,1.78,N,4
85,1.9299999,N,4
86,1.8,N,4
87,1.72,N,4
88,1.9400001,N,4
89,2.22,N,4
90,2.29,N,4
91,2.24,N,4
92,2.3599999,N,4
93,2.5799999,N,4
94,2.6300001,N,4
95,2.48,N,5
96,2.3900001,N,5
97,2.4300001,N,5
98,2.45,N,5
99,2.4100001,N,5
100,2.4100001,N,5
101,2.4400001,N,5
102,2.3499999,N,5
103,2.1600001,N,5
104,2.0999999,N,5
105,2.29,N,5
106,2.4200001,N,5
107,2.3199999,N,5
108,2.03,N,6
109,1.88,N,6
110,1.85,N,7
111,1.8099999,N,7
112,1.76,N,7
113,1.73,N,7
114,1.65,N,7
115,1.39,N,7
116,1.02,N,7
117,0.88,N,7
118,0.98000002,N,7
119,1,N,7
120,0.77999997,N,7
121,0.51999998,N,7
122,0.47999999,N,7
123,0.47999999,N,0
124,0.31999999,N,0
125,0.12,N,0
126,0.14,N,0
127,0.23,N,0
